route_id,route_name,length_km,avg_trip_time_min,num_stops,current_peak_freq,current_offpeak_freq,route_category,priority_score,depot_id
100,Hinjawadi Maan Phase 3 - Ma Na Pa,26.4,90.1,68,1,1,suburban,0.507,Aundh
101,Kondhwa Bk - Kothrud Depot,16.2,57.6,39,2,2,trunk,0.656,Kothrud
102,Lohgaon - Kothrud Depot,23.6,85.9,61,1,1,suburban,0.164,Kothrud
103A,Hinjawadi Maan Phase 3 - Katraj (Vai Kothrud Depo),36.6,126.6,80,1,1,suburban,0.203,Katraj
103B,Swargate - Katraj,6.1,21.4,14,1,1,feeder,0.141,Swargate
103C,Hinjawadi Maan Phase 3 - Swargate,30.5,106.4,75,1,1,suburban,0.11,Swargate
103,Kothrud Depot - Katraj,14.3,51.7,37,2,1,trunk,0.2,Kothrud
104,DSK Vishwa - Deccan Gymkhana,15.4,51.9,40,2,1,trunk,0.483,Bhosari
105,Balewadi Depot - Deccan Gymkhana,16.8,56.8,39,2,1,trunk,0.628,Balewadi
106-R,Galinde Path - Galinde Path,21.3,73.2,53,2,1,trunk,0.516,Dhankawadi
107,Pimplegurav - Deccan Gymkhana,14.4,53.4,36,2,1,trunk,0.505,Hadapsar
108,Pune Station - Sutardara,12.3,45.3,26,1,1,trunk,0.945,Katraj
109-R,Ma Na Pa - Ma Na Pa,21.0,72.2,51,1,1,trunk,0.484,Kothrud
10,Keshavnagar - Swargate,15.0,47.9,36,1,1,trunk,0.143,Swargate
110-R,Ma Na Pa - Ma Na Pa,21.0,76.3,54,2,1,trunk,0.516,Nigdi
111,Ma Na Pa - Bhekrainagar,17.3,60.5,39,1,1,trunk,0.524,Pimpri
112,Mandai - Kothrud Depot,8.0,29.7,20,1,1,trunk,0.162,Kothrud
113A,Pimplegurav - Appa Balawant Chowk,13.3,48.8,32,2,1,trunk,0.505,Swargate
113B,Pimplegurav - Ma Na Pa,12.6,43.4,30,2,1,trunk,0.478,Balewadi
113,Vasantdada Putala Sangvi - Appa Balawant Chowk,10.9,38.5,28,2,2,trunk,0.486,Maan-Hinjewadi
114,Mhalungegaon - Ma Na Pa,12.5,43.8,29,2,1,trunk,0.518,Shewalewadi
115P,Hinjawadi Maan Phase 3 - Pune Station,29.0,98.4,69,1,1,suburban,0.893,Charholi
116,Khadki Bazar - Ma Na Pa,10.8,37.0,30,1,1,trunk,0.471,Aundh
117A,DSK Vishwa - Swargate,12.6,43.9,28,2,1,trunk,0.086,Swargate
117B,Shree Control - Swargate,11.7,36.1,30,2,1,trunk,0.139,Swargate
117C,Raykarmala - Swargate,13.5,47.9,32,2,1,trunk,0.071,Swargate
117,Dhayari Maruti Mandir - Swargate,12.2,47.9,29,2,1,trunk,0.115,Swargate
117D,Swargate - Saritanagari,5.0,21.7,15,1,1,feeder,0.121,Swargate
117E,Shaniwarwada Stand - Saritanagari,7.0,21.1,15,1,1,feeder,0.158,Bhosari
117F,Shaniwarwada - Dhayari Maruti Mandir,13.6,49.9,33,2,1,trunk,0.073,Dhankawadi
118-7A,Swargate - Marketyard,3.1,11.9,10,1,1,feeder,0.084,Swargate
118-7,Venutai Chavan College - Swargate,9.4,30.2,17,1,1,trunk,0.127,Swargate
118A,Suncity - Swargate,6.0,19.9,13,1,1,feeder,0.09,Swargate
118B,Vadgaon Bk - Swargate,7.0,24.2,14,1,1,feeder,0.119,Swargate
118C,Nanded - Swargate,11.2,39.4,33,2,1,trunk,0.1,Swargate
118,Venutai Chavan College - Swargate,9.4,29.6,20,2,1,trunk,0.099,Swargate
