Ward Name,Census Ward Number,No of House Holds,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST
Aundh,24,4283,17876,8926,8950,1720,892,828,3466,1667,1799,188,88,100
Aundh,25,3563,15834,7905,7929,1637,831,806,3748,1828,1920,226,110,116
Aundh,26,3868,16240,8141,8099,1539,770,769,4529,2237,2292,282,138,144
Aundh,27,4555,17766,8934,8832,1745,918,827,2016,1029,987,359,187,172
Aundh,28,8142,31972,16781,15191,3995,2051,1944,2791,1415,1376,294,157,137
Aundh,29,6120,23994,12422,11572,3002,1551,1451,2198,1137,1061,984,498,486
Aundh,30,6017,24574,12618,11956,3195,1656,1539,3542,1802,1740,426,222,204
Aundh,31,4158,15205,7573,7632,1121,572,549,967,501,466,57,30,27
Aundh,32,4326,17663,8972,8691,1567,808,759,4653,2321,2332,533,283,250
Aundh,Aundh Total,45032,181124,92272,88852,19521,10049,9472,27910,13937,13973,3349,1713,1636
Ghole Road,22,3837,18071,9129,8942,1999,1026,973,5011,2532,2479,225,111,114
Ghole Road,23,3631,15744,7666,8078,1296,693,603,1698,839,859,608,284,324
Ghole Road,33,4482,20138,10242,9896,2072,1056,1016,2268,1130,1138,277,135,142
Ghole Road,34,3541,14892,7386,7506,931,514,417,1650,838,812,117,66,51
Ghole Road,35,3477,14669,7534,7135,1024,593,431,938,530,408,237,141,96
Ghole Road,36,2574,12603,6356,6247,1071,543,528,2251,1124,1127,151,78,73
Ghole Road,53,3531,16120,8238,7882,1228,660,568,3003,1470,1533,219,105,114
Ghole Road,54,3681,16690,8393,8297,1931,990,941,1809,933,876,117,65,52
Ghole Road,55,3084,14614,7276,7338,1486,764,722,1750,848,902,143,75,68
Ghole Road,56,3910,15228,7453,7775,903,451,452,658,328,330,83,44,39
Ghole Road,67,3253,12909,6018,6891,876,439,437,489,217,272,65,28,37
Ghole Road,Ghole Road Total,39001,171678,85691,85987,14817,7729,7088,21525,10789,10736,2242,1132,1110
Kothrud,57,4298,18064,9316,8748,1869,985,884,1845,939,906,169,90,79
Kothrud,58,5282,20244,10557,9687,1500,797,703,951,498,453,81,45,36
Kothrud,59,7185,29109,15287,13822,4008,2050,1958,2471,1266,1205,280,144,136
Kothrud,60,5167,19342,9796,9546,1833,943,890,1820,917,903,97,55,42
Kothrud,61,10204,37509,19755,17754,3820,1950,1870,1696,886,810,317,182,135
Kothrud,62,8825,33045,17007,16038,3075,1630,1445,1765,925,840,184,103,81
Kothrud,63,4564,18796,9753,9043,1794,962,832,1754,912,842,147,80,67
Kothrud,64,5277,20022,10279,9743,1597,876,721,970,510,460,312,155,157
Kothrud,65,3678,13200,6585,6615,725,371,354,837,436,401,25,16,9
Kothrud,Kothrud Total,54480,209331,108335,100996,20221,10564,9657,14109,7289,6820,1612,870,742
Warje,66,4542,17087,8459,8628,1200,612,588,647,319,328,96,55,41
Warje,105,4680,17854,8556,9298,1129,574,555,424,198,226,80,37,43
Warje,106,5529,19993,9856,10137,1533,791,742,962,492,470,90,40,50
Warje,107,4772,18668,9537,9131,1742,904,838,1397,735,662,324,174,150
Warje,108,3485,12827,6441,6386,1258,664,594,1633,844,789,119,75,44
Warje,109,8936,35401,18565,16836,3998,2129,1869,2139,1134,1005,308,164,144
Warje,110,9933,38951,20877,18074,5252,2762,2490,2716,1421,1295,470,254,216
Warje,111,6126,26155,14013,12142,3561,1893,1668,5535,2894,2641,790,391,399
Warje,112,5913,24492,12862,11630,2343,1244,1099,1257,646,611,283,141,142
Warje,113,5061,21971,10627,11344,2007,1073,934,884,404,480,194,82,112
Warje,Warje Total,58977,233399,119793,113606,24023,12646,11377,17594,9087,8507,2754,1413,1341
Dholepatil Road,37,3395,15380,7994,7386,1751,918,833,5398,2718,2680,350,188,162
Dholepatil Road,38,3219,14096,7068,7028,1289,670,619,4740,2362,2378,223,110,113
Dholepatil Road,39,3361,14447,7231,7216,1322,693,629,2883,1420,1463,251,141,110
Dholepatil Road,40,3611,14685,7446,7239,1370,701,669,2894,1468,1426,210,134,76
Dholepatil Road,41,4483,19153,9924,9229,2316,1184,1132,2316,1162,1154,228,120,108
Dholepatil Road,45,7107,30023,15526,14497,3213,1722,1491,5752,2866,2886,246,130,116
