route_id,period,frequency,buses_assigned
100,early_morning,1,4
100,AM_peak,1,4
100,midday,1,4
100,PM_peak,1,4
100,evening,1,4
101,early_morning,2,5
101,AM_peak,2,5
101,midday,2,5
101,PM_peak,2,5
101,evening,2,5
102,early_morning,1,3
102,AM_peak,1,3
102,midday,1,3
102,PM_peak,1,3
102,evening,1,3
103A,early_morning,1,5
103A,AM_peak,1,5
103A,midday,1,5
103A,PM_peak,1,5
103A,evening,1,5
103B,early_morning,2,2
103B,AM_peak,2,2
103B,midday,2,2
103B,PM_peak,2,2
103B,evening,2,2
103C,early_morning,1,4
103C,AM_peak,1,4
103C,midday,1,4
103C,PM_peak,1,4
103C,evening,1,4
103,early_morning,2,4
103,AM_peak,2,4
103,midday,2,4
103,PM_peak,2,4
103,evening,2,4
104,early_morning,2,4
104,AM_peak,2,4
104,midday,2,4
104,PM_peak,2,4
104,evening,2,4
105,early_morning,2,5
105,AM_peak,1,3
105,midday,2,5
105,PM_peak,1,3
105,evening,2,5
106-R,early_morning,1,3
106-R,AM_peak,1,3
106-R,midday,1,3
106-R,PM_peak,1,3
106-R,evening,1,3
107,early_morning,2,4
107,AM_peak,1,2
107,midday,2,4
107,PM_peak,1,2
107,evening,2,4
108,early_morning,2,4
108,AM_peak,3,5
108,midday,2,4
108,PM_peak,3,5
108,evening,2,4
109-R,early_morning,1,3
109-R,AM_peak,1,3
109-R,midday,1,3
109-R,PM_peak,1,3
109-R,evening,1,3
10,early_morning,1,2
10,AM_peak,1,2
10,midday,1,2
10,PM_peak,1,2
10,evening,2,4
110-R,early_morning,1,3
110-R,AM_peak,1,3
110-R,midday,1,3
110-R,PM_peak,1,3
110-R,evening,1,3
111,early_morning,2,5
111,AM_peak,1,3
111,midday,1,3
111,PM_peak,1,3
111,evening,2,5
112,early_morning,2,3
112,AM_peak,2,3
112,midday,2,3
112,PM_peak,2,3
112,evening,2,3
113A,early_morning,2,4
113A,AM_peak,1,2
113A,midday,2,4
113A,PM_peak,1,2
113A,evening,2,4
113B,early_morning,3,5
113B,AM_peak,2,4
113B,midday,3,5
113B,PM_peak,2,4
113B,evening,3,5
113,early_morning,2,3
113,AM_peak,2,3
113,midday,2,3
113,PM_peak,2,3
113,evening,2,3
114,early_morning,3,5
114,AM_peak,1,2
114,midday,2,4
114,PM_peak,1,2
114,evening,2,4
115P,early_morning,1,4
115P,AM_peak,3,11
115P,midday,1,4
115P,PM_peak,3,11
115P,evening,1,4
116,early_morning,2,3
116,AM_peak,2,3
116,midday,2,3
116,PM_peak,2,3
116,evening,2,3
117A,early_morning,2,4
117A,AM_peak,1,2
117A,midday,2,4
117A,PM_peak,1,2
117A,evening,2,4
117B,early_morning,2,3
117B,AM_peak,2,3
117B,midday,2,3
117B,PM_peak,2,3
117B,evening,2,3
117C,early_morning,2,4
117C,AM_peak,1,2
117C,midday,2,4
117C,PM_peak,1,2
117C,evening,2,4
117,early_morning,2,4
117,AM_peak,1,2
117,midday,2,4
117,PM_peak,1,2
117,evening,2,4
117D,early_morning,2,2
117D,AM_peak,2,2
117D,midday,2,2
117D,PM_peak,2,2
117D,evening,2,2
117E,early_morning,2,2
117E,AM_peak,2,2
117E,midday,2,2
117E,PM_peak,2,2
117E,evening,2,2
117F,early_morning,2,4
117F,AM_peak,1,2
117F,midday,2,4
117F,PM_peak,1,2
117F,evening,2,4
118-7A,early_morning,3,2
118-7A,AM_peak,3,2
118-7A,midday,3,2
118-7A,PM_peak,3,2
118-7A,evening,3,2
118-7,early_morning,2,3
118-7,AM_peak,2,3
118-7,midday,2,3
118-7,PM_peak,2,3
118-7,evening,2,3
118A,early_morning,2,2
118A,AM_peak,2,2
118A,midday,2,2
