nominal,quantile,empirical,split
0.05,q05,0.11032786885245902,validation
0.1,q10,0.18297814207650273,validation
0.25,q25,0.35580601092896175,validation
0.5,q50,0.6022950819672132,validation
0.75,q75,0.7654781420765028,validation
0.9,q90,0.8966530054644809,validation
0.95,q95,0.9459972677595628,validation
0.05,q05,0.11416666666666667,test
0.1,q10,0.19730874316939892,test
0.25,q25,0.35995901639344263,test
0.5,q50,0.5700956284153006,test
0.75,q75,0.7481830601092896,test
0.9,q90,0.8955464480874317,test
0.95,q95,0.9499180327868852,test
