constraint_type,subject,shadow_price
fleet,early_morning,-1.6358333
fleet,AM_peak,-6.24625
fleet,midday,-2.3808333
fleet,PM_peak,-5.9475
fleet,evening,-1.585
equity_total,all_priority_peak,3805.6966627399997
equity_mean,per_priority_peak,19.616993106907216
equity_max,binding_priority_peak,92.37125
depot,Aundh_early_morning,0.0
depot,Aundh_AM_peak,0.0
depot,Aundh_midday,0.0
depot,Aundh_PM_peak,0.0
depot,Aundh_evening,0.0
depot,Balewadi_early_morning,0.0
depot,Balewadi_AM_peak,0.0
depot,Balewadi_midday,0.0
depot,Balewadi_PM_peak,0.0
depot,Balewadi_evening,0.0
depot,Bhosari_early_morning,0.0
depot,Bhosari_AM_peak,0.0
depot,Bhosari_midday,0.0
depot,Bhosari_PM_peak,0.0
depot,Bhosari_evening,0.0
depot,Charholi_early_morning,0.0
depot,Charholi_AM_peak,0.0
depot,Charholi_midday,0.0
depot,Charholi_PM_peak,0.0
depot,Charholi_evening,0.0
depot,Dhankawadi_early_morning,-0.17291667
depot,Dhankawadi_AM_peak,-2.96375
depot,Dhankawadi_midday,-0.25166667
depot,Dhankawadi_PM_peak,-2.82
depot,Dhankawadi_evening,-0.1675
depot,Hadapsar_early_morning,0.0
depot,Hadapsar_AM_peak,0.0
depot,Hadapsar_midday,0.0
depot,Hadapsar_PM_peak,0.0
depot,Hadapsar_evening,0.0
depot,Katraj_early_morning,0.0
depot,Katraj_AM_peak,0.0
depot,Katraj_midday,0.0
depot,Katraj_PM_peak,0.0
depot,Katraj_evening,0.0
depot,Kothrud_early_morning,0.0
depot,Kothrud_AM_peak,0.0
depot,Kothrud_midday,0.0
depot,Kothrud_PM_peak,0.0
depot,Kothrud_evening,0.0
depot,Maan-Hinjewadi_early_morning,-0.17291667
depot,Maan-Hinjewadi_AM_peak,0.0
depot,Maan-Hinjewadi_midday,-0.25166667
depot,Maan-Hinjewadi_PM_peak,0.0
depot,Maan-Hinjewadi_evening,-0.1675
depot,Nigdi_early_morning,-0.0016666667
depot,Nigdi_AM_peak,-1.6236071e-15
depot,Nigdi_midday,3.3324535e-13
depot,Nigdi_PM_peak,0.0
depot,Nigdi_evening,4.0590177e-16
depot,Pimpri_early_morning,-0.17291667
depot,Pimpri_AM_peak,-3.3335304e-15
depot,Pimpri_midday,-0.25166667
depot,Pimpri_PM_peak,0.0
depot,Pimpri_evening,-0.1675
depot,Shewalewadi_early_morning,0.0
depot,Shewalewadi_AM_peak,0.0
depot,Shewalewadi_midday,0.0
depot,Shewalewadi_PM_peak,0.0
depot,Shewalewadi_evening,0.0
depot,Swargate_early_morning,-0.17291667
depot,Swargate_AM_peak,-2.96375
depot,Swargate_midday,-0.25166667
depot,Swargate_PM_peak,-2.82
depot,Swargate_evening,-0.1675
