method,scenario,objective_value
deterministic,S1_expected,15525.581544006092
deterministic,S2_high_demand,18425.78890361862
deterministic,S3_low_demand,12863.303287812154
deterministic,S4_monsoon,10290.642630249773
deterministic,S5_peak_surge,16340.89041321536
deterministic,S6_festival_dip,11644.186158004504
stochastic,S1_expected,15525.614641945745
stochastic,S2_high_demand,18425.783802579346
stochastic,S3_low_demand,12862.871824117628
stochastic,S4_monsoon,10290.297459294154
stochastic,S5_peak_surge,16340.923511155012
stochastic,S6_festival_dip,11644.210981459242
robust,S1_expected,15526.668107562815
robust,S2_high_demand,18425.17530845017
robust,S3_low_demand,12864.409640616295
robust,S4_monsoon,10291.52771249309
robust,S5_peak_surge,16341.97697677208
robust,S6_festival_dip,11645.001080672047
status_quo,S1_expected,19904.935521643813
status_quo,S2_high_demand,23685.16052774197
status_quo,S3_low_demand,16520.439767230135
status_quo,S4_monsoon,13216.351813784035
status_quo,S5_peak_surge,20373.63051509346
status_quo,S6_festival_dip,14928.70164123271
